feat_importance,shap,Gene1,Gene2,feat_Proba,EdgeWeight
0.001045285,5.45E-05,CCR5,IL2RA,0.001851768,6.23E-05
0,0,ALB,IL2RA,0,0
0,0,IL2,IL2RA,0,0
0.001080364,0.000317492,ABCB1,IL2RA,0.00191391,0.000362772
0,0,HP,IL2RA,0,0
0,0,MBL2,IL2RA,0,0
0,0,CXCL12,IL2RA,0,0
0.045235504,0.013584558,PRF1,IL2RA,0.08013662,0.015521976
0.09808442,0.004838065,FAS,IL2RA,0.173760722,0.005528065
0.070295332,0.016823858,CCL5,IL2RA,0.124531171,0.019223263
0.001012705,0.000198073,MKI67,IL2RA,0.00179405,0.000226322
0.035533974,0.001200415,TRIM5,IL2RA,0.062949947,0.001371617
0.000778561,0.001343396,IFNG,IL2RA,0.001379254,0.00153499
0.006818942,0.001626696,SERPINA1,IL2RA,0.012080046,0.001858695
3.53E-06,3.62E-07,HP,IL2RA,6.25E-06,4.14E-07
0,0,CCL2,IL2RA,0,0
0,0,CCL11,IL2RA,0,0
0.005942333,0.0053455,FAS,IL2RA,0.010527095,0.006107871
0.00045752,7.51E-05,CCL3,IL2RA,0.000810515,8.58E-05
0.001290755,0.002003704,CCL4L2,IL2RA,0.002286627,0.002289471
0.000890088,0.000259322,ALB,IL2RA,0.00157683,0.000296306
0.000894208,2.58E-05,KIR3DL1,IL2RA,0.001584127,2.95E-05
0,0,CYP2B6,IL2RA,0,0
0.064554966,0.00153704,CD40LG,IL2RA,0.114361868,0.001756252
0.564479814,0.00818106,HLA-B,IL2RA,1,0.009347836
0,0,CRP,MBL2,0,0
0,0,FCGR3A,MBL2,0,0
0,0,IL10,MBL2,0,0
0,0,CD28,MBL2,0,0
0,0,CX3CR1,MBL2,0,0
0,0,CCR2,MBL2,0,0
0,0,CCR5,MBL2,0,0
0,0,ALB,MBL2,0,0
0,0,IL2,MBL2,0,0
0,0,ABCB1,MBL2,0,0
0,0,HP,MBL2,0,0
0,0,IL2RA,MBL2,0,0
0,0,CXCL12,MBL2,0,0
0,0,PRF1,MBL2,0,0
0,0,FAS,MBL2,0,0
0,0,CCL5,MBL2,0,0
0,0,MKI67,MBL2,0,0
0,0,TRIM5,MBL2,0,0
0,0,IFNG,MBL2,0,0
0,0,SERPINA1,MBL2,0,0
0,0,HP,MBL2,0,0
0,0,CCL2,MBL2,0,0
0,0,CCL11,MBL2,0,0
0,0,FAS,MBL2,0,0
0,0,CCL3,MBL2,0,0
0,0,CCL4L2,MBL2,0,0
0,0,ALB,MBL2,0,0
0,0,KIR3DL1,MBL2,0,0
0,0,CYP2B6,MBL2,0,0
0,0,CD40LG,MBL2,0,0
0,0,HLA-B,MBL2,0,0
0,0,CRP,CXCL12,0,0
0,0,FCGR3A,CXCL12,0,0
0,0,IL10,CXCL12,0,0
0,0,CD28,CXCL12,0,0
0,0,CX3CR1,CXCL12,0,0
0,0,CCR2,CXCL12,0,0
0,0,CCR5,CXCL12,0,0
0,0,ALB,CXCL12,0,0
0,0,IL2,CXCL12,0,0
0,0,ABCB1,CXCL12,0,0
0,0,HP,CXCL12,0,0
0,0,IL2RA,CXCL12,0,0
0,0,MBL2,CXCL12,0,0
0,0,PRF1,CXCL12,0,0
0,0,FAS,CXCL12,0,0
0,0,CCL5,CXCL12,0,0
0,0,MKI67,CXCL12,0,0
