feat_importance,shap,Gene1,Gene2,feat_Proba,EdgeWeight
9.03E-05,7.51E-07,MKI67,HP,0.000168903,1.21E-06
0.03460774,0.001630798,TRIM5,HP,0.064723922,0.002617562
0.000325603,7.96E-06,IFNG,HP,0.000608947,1.28E-05
0.317432233,0.009320207,SERPINA1,HP,0.593666581,0.014959682
4.99E-05,3.85E-07,CCL2,HP,9.33E-05,6.18E-07
0,0,CCL11,HP,0,0
0.033339383,0.000900568,FAS,HP,0.06235182,0.001445484
0.041811486,0.001700328,CCL3,HP,0.078196476,0.002729163
0.013339156,0.004005504,CCL4L2,HP,0.024947092,0.006429156
0.000571446,8.83E-06,ALB,HP,0.001068727,1.42E-05
6.09E-07,1.33E-08,KIR3DL1,HP,1.14E-06,2.14E-08
0.017166811,7.55E-05,CYP2B6,HP,0.032105631,0.000121125
0.000337648,5.03E-05,CD40LG,HP,0.000631474,8.07E-05
0.280668309,0.003685151,HLA-B,HP,0.524910132,0.005914964
0,0,CRP,IL2RA,0,0
0.008199004,0.006728351,FCGR3A,IL2RA,0.015333903,0.010799546
0,0,IL10,IL2RA,0,0
0.10498549,0.006023708,CD28,IL2RA,0.196345458,0.009668537
0.009690638,0.010788981,CX3CR1,IL2RA,0.018123578,0.017317182
0.023075399,0.001908179,CCR2,IL2RA,0.043155962,0.00306278
0.003271509,0.00032241,CCR5,IL2RA,0.006118425,0.000517493
0,0,ALB,IL2RA,0,0
0.000373754,1.72E-05,IL2,IL2RA,0.000699001,2.76E-05
0.008090196,0.000468401,ABCB1,IL2RA,0.015130408,0.000751821
5.58E-06,3.57E-07,HP,IL2RA,1.04E-05,5.73E-07
0,0,MBL2,IL2RA,0,0
0,0,CXCL12,IL2RA,0,0
0.059461012,0.01075238,PRF1,IL2RA,0.111204887,0.017258435
0.071988158,0.002209829,FAS,IL2RA,0.134633347,0.003546953
0.059917096,0.036949381,CCL5,IL2RA,0.112057863,0.059306731
7.44E-05,6.94E-06,MKI67,IL2RA,0.000139064,1.11E-05
0.029063222,0.000555357,TRIM5,IL2RA,0.05435448,0.000891392
0.005269392,8.35E-05,IFNG,IL2RA,0.009854896,0.000134063
0.016891102,0.013763311,SERPINA1,IL2RA,0.031589995,0.022091222
2.42E-05,2.21E-06,HP,IL2RA,4.53E-05,3.55E-06
0.000145411,3.58E-06,CCL2,IL2RA,0.00027195,5.74E-06
0,0,CCL11,IL2RA,0,0
0.009096881,0.000447974,FAS,IL2RA,0.017013125,0.000719034
0.000681071,0.000214336,CCL3,IL2RA,0.00127375,0.000344027
0.00045979,6.36E-05,CCL4L2,IL2RA,0.000859907,0.00010205
0.008232484,0.000108393,ALB,IL2RA,0.015396517,0.00017398
3.12E-05,6.04E-06,KIR3DL1,IL2RA,5.83E-05,9.69E-06
7.34E-08,6.60E-09,CYP2B6,IL2RA,1.37E-07,1.06E-08
0.093917144,0.010019939,CD40LG,IL2RA,0.175645269,0.016082809
0.487055809,0.076228955,HLA-B,IL2RA,0.910899167,0.12235361
0,0,CRP,MBL2,0,0
0,0,FCGR3A,MBL2,0,0
0,0,IL10,MBL2,0,0
0,0,CD28,MBL2,0,0
0,0,CX3CR1,MBL2,0,0
0,0,CCR2,MBL2,0,0
0,0,CCR5,MBL2,0,0
0,0,ALB,MBL2,0,0
0,0,IL2,MBL2,0,0
